cve_mun,valor
1001,2.0
1002,3.0
1003,2.0
1004,1.0
1006,3.0
1007,3.0
1008,2.0
1009,2.0
1010,1.0
1011,2.0
2001,2.0
2002,2.0
2003,2.0
2004,3.0
2005,3.0
3001,3.0
3002,3.0
3008,1.0
4001,1.0
4002,2.0
4003,1.0
4004,1.0
4005,1.0
4006,2.0
4007,3.0
4008,1.0
4009,2.0
4010,2.0
4011,3.0
5002,2.0
5005,3.0
5006,2.0
5007,2.0
5008,3.0
5010,1.0
5011,3.0
5016,1.0
5018,2.0
5020,2.0
5021,3.0
5022,1.0
5024,2.0
5025,2.0
5027,2.0
5028,2.0
5029,3.0
5030,2.0
5031,2.0
5032,2.0
5033,3.0
5034,1.0
5035,2.0
5036,2.0
5037,2.0
6001,3.0
6002,2.0
6003,2.0
6004,2.0
6006,3.0
6007,2.0
6009,3.0
6010,2.0
7001,3.0
7002,3.0
7003,2.0
7004,1.0
7005,1.0
7006,3.0
7007,3.0
7008,3.0
7009,3.0
7010,2.0
7011,3.0
7012,3.0
7013,3.0
7014,3.0
7015,2.0
7016,3.0
7017,2.0
7018,3.0
7019,2.0
7020,3.0
7021,3.0
7022,
7023,2.0
7024,3.0
7025,
7026,1.0
7027,2.0
7028,3.0
7029,3.0
7030,3.0
7031,3.0
7032,3.0
7033,3.0
7034,2.0
7035,3.0
7036,3.0
7037,2.0
7038,
7039,3.0
7040,1.0
7041,3.0
7042,3.0
7043,1.0
7044,2.0
7045,1.0
7046,3.0
7047,3.0
7049,3.0
7050,2.0
7051,3.0
7052,2.0
7053,1.0
7055,1.0
7056,
7057,3.0
7058,
7059,3.0
7061,2.0
7062,1.0
7063,1.0
7064,2.0
7065,2.0
7066,1.0
7068,1.0
7069,3.0
7070,3.0
7071,3.0
7072,2.0
7074,3.0
7075,2.0
7076,1.0
7077,2.0
7078,2.0
7080,1.0
7081,3.0
7082,3.0
7083,3.0
7084,1.0
7085,2.0
7086,3.0
7087,2.0
7089,2.0
7091,1.0
7092,1.0
7093,3.0
7094,3.0
7096,3.0
7098,3.0
7099,2.0
7100,3.0
7101,2.0
7102,3.0
7103,1.0
7104,1.0
7105,3.0
7107,2.0
7108,2.0
7109,3.0
7111,3.0
7112,3.0
7114,3.0
7115,
7116,3.0
7117,
7118,2.0
7119,1.0
8001,1.0
8004,1.0
8005,1.0
8006,3.0
8007,2.0
8008,1.0
8009,2.0
8010,3.0
8012,3.0
8013,3.0
8014,2.0
8015,2.0
8016,3.0
8018,2.0
8019,2.0
8020,3.0
8021,2.0
8022,1.0
8024,2.0
8026,3.0
8027,3.0
8029,3.0
8030,2.0
8032,3.0
8033,3.0
8034,1.0
8035,3.0
8038,2.0
8039,1.0
8040,2.0
8041,3.0
