cve_mun,mes,year,asegurados
1001,1,2019,78593.0
1001,1,2020,79396.0
1001,2,2019,79341.0
1001,2,2020,79707.0
1001,3,2019,79713.0
1001,3,2020,79596.0
1001,4,2019,79798.0
1001,4,2020,78168.0
1001,5,2019,78980.0
1001,5,2020,77789.0
1001,6,2019,78490.0
1001,6,2020,77375.0
1001,7,2019,79049.0
1001,7,2020,78017.0
1001,8,2019,78975.0
1001,8,2020,78905.0
1002,1,2019,423.0
1002,1,2020,469.0
1002,2,2019,434.0
1002,2,2020,478.0
1002,3,2019,451.0
1002,3,2020,486.0
1002,4,2019,441.0
1002,4,2020,526.0
1002,5,2019,432.0
1002,5,2020,490.0
1002,6,2019,451.0
1002,6,2020,494.0
1002,7,2019,450.0
1002,7,2020,520.0
1002,8,2019,450.0
1002,8,2020,510.0
1003,1,2019,953.0
1003,1,2020,874.0
1003,2,2019,937.0
1003,2,2020,913.0
1003,3,2019,929.0
1003,3,2020,913.0
1003,4,2019,993.0
1003,4,2020,878.0
1003,5,2019,921.0
1003,5,2020,812.0
1003,6,2019,912.0
1003,6,2020,814.0
1003,7,2019,882.0
1003,7,2020,868.0
1003,8,2019,895.0
1003,8,2020,824.0
1004,1,2019,99.0
1004,1,2020,110.0
1004,2,2019,112.0
1004,2,2020,121.0
1004,3,2019,111.0
1004,3,2020,111.0
1004,4,2019,105.0
1004,4,2020,114.0
1004,5,2019,99.0
1004,5,2020,108.0
1004,6,2019,85.0
1004,6,2020,91.0
1004,7,2019,85.0
1004,7,2020,99.0
1004,8,2019,87.0
1004,8,2020,94.0
1006,1,2019,1525.0
1006,1,2020,1588.0
1006,2,2019,1563.0
1006,2,2020,1577.0
1006,3,2019,1584.0
1006,3,2020,1630.0
1006,4,2019,1572.0
1006,4,2020,1634.0
1006,5,2019,1548.0
1006,5,2020,1688.0
1006,6,2019,1558.0
1006,6,2020,1676.0
1006,7,2019,1518.0
1006,7,2020,1718.0
1006,8,2019,1513.0
1006,8,2020,1707.0
1007,1,2019,1055.0
1007,1,2020,1033.0
1007,2,2019,1073.0
1007,2,2020,1053.0
1007,3,2019,1095.0
1007,3,2020,1048.0
1007,4,2019,1055.0
1007,4,2020,1038.0
1007,5,2019,1042.0
1007,5,2020,1027.0
1007,6,2019,1082.0
1007,6,2020,1046.0
1007,7,2019,1011.0
1007,7,2020,1036.0
1007,8,2019,1001.0
1007,8,2020,1048.0
1008,1,2019,121.0
1008,1,2020,60.0
1008,2,2019,122.0
1008,2,2020,55.0
1008,3,2019,104.0
1008,3,2020,53.0
1008,4,2019,113.0
1008,4,2020,45.0
1008,5,2019,113.0
1008,5,2020,47.0
1008,6,2019,103.0
1008,6,2020,50.0
1008,7,2019,104.0
1008,7,2020,53.0
1008,8,2019,74.0
1008,8,2020,50.0
1009,1,2019,462.0
1009,1,2020,380.0
1009,2,2019,513.0
1009,2,2020,388.0
1009,3,2019,508.0
1009,3,2020,402.0
1009,4,2019,511.0
1009,4,2020,355.0
1009,5,2019,508.0
1009,5,2020,366.0
1009,6,2019,436.0
1009,6,2020,336.0
1009,7,2019,428.0
1009,7,2020,342.0
1009,8,2019,480.0
1009,8,2020,380.0
1010,1,2019,200.0
1010,1,2020,317.0
1010,2,2019,251.0
1010,2,2020,277.0
1010,3,2019,225.0
1010,3,2020,262.0
1010,4,2019,243.0
1010,4,2020,283.0
1010,5,2019,214.0
1010,5,2020,232.0
1010,6,2019,316.0
1010,6,2020,278.0
1010,7,2019,298.0
1010,7,2020,208.0
1010,8,2019,411.0
1010,8,2020,240.0
1011,1,2019,2618.0
1011,1,2020,2829.0
1011,2,2019,2698.0
1011,2,2020,2867.0
1011,3,2019,2681.0
1011,3,2020,2820.0
1011,4,2019,2763.0
1011,4,2020,2789.0
1011,5,2019,2722.0
1011,5,2020,2605.0
1011,6,2019,2721.0
1011,6,2020,2537.0
1011,7,2019,2795.0
1011,7,2020,2559.0
1011,8,2019,2830.0
1011,8,2020,2578.0
2001,1,2019,35528.0
2001,1,2020,36248.0
2001,2,2019,35612.0
2001,2,2020,36462.0
2001,3,2019,35171.0
2001,3,2020,36042.0
2001,4,2019,35819.0
2001,4,2020,35879.0
2001,5,2019,35518.0
2001,5,2020,35293.0
2001,6,2019,35622.0
2001,6,2020,35211.0
2001,7,2019,35820.0
2001,7,2020,34842.0
2001,8,2019,36313.0
2001,8,2020,35006.0
2002,1,2019,62825.0
2002,1,2020,63828.0
2002,2,2019,63793.0
2002,2,2020,64347.0
2002,3,2019,64169.0
2002,3,2020,64762.0
2002,4,2019,64288.0
2002,4,2020,63919.0
2002,5,2019,64255.0
2002,5,2020,63536.0
2002,6,2019,64014.0
2002,6,2020,63369.0
2002,7,2019,63201.0
2002,7,2020,62768.0
2002,8,2019,63721.0
2002,8,2020,62778.0
2003,1,2019,8327.0
2003,1,2020,8345.0
2003,2,2019,8394.0
2003,2,2020,8564.0
2003,3,2019,8356.0
2003,3,2020,8684.0
2003,4,2019,8306.0
2003,4,2020,8611.0
2003,5,2019,8259.0
2003,5,2020,8546.0
2003,6,2019,8322.0
2003,6,2020,8550.0
2003,7,2019,8236.0
2003,7,2020,8480.0
2003,8,2019,8421.0
2003,8,2020,8391.0
2004,1,2019,106357.0
2004,1,2020,110731.0
2004,2,2019,107279.0
2004,2,2020,111698.0
2004,3,2019,107161.0
2004,3,2020,111608.0
2004,4,2019,108347.0
2004,4,2020,110202.0
2004,5,2019,108786.0
2004,5,2020,108865.0
2004,6,2019,108992.0
2004,6,2020,109638.0
2004,7,2019,107986.0
2004,7,2020,109191.0
2004,8,2019,108493.0
2004,8,2020,109714.0
2005,1,2019,5252.0
2005,1,2020,5383.0
2005,2,2019,5280.0
2005,2,2020,5485.0
2005,3,2019,5344.0
2005,3,2020,5542.0
2005,4,2019,5441.0
2005,4,2020,5418.0
2005,5,2019,5478.0
2005,5,2020,5431.0
2005,6,2019,5397.0
2005,6,2020,5514.0
2005,7,2019,5261.0
2005,7,2020,5507.0
2005,8,2019,5236.0
2005,8,2020,5590.0
3001,1,2019,5086.0
3001,1,2020,5370.0
3001,2,2019,5209.0
3001,2,2020,5562.0
3001,3,2019,5302.0
3001,3,2020,5538.0
3001,4,2019,5264.0
3001,4,2020,5552.0
3001,5,2019,5191.0
3001,5,2020,5499.0
3001,6,2019,5184.0
3001,6,2020,5553.0
3001,7,2019,5211.0
3001,7,2020,5402.0
3001,8,2019,5416.0
3001,8,2020,5388.0
3002,1,2019,3746.0
3002,1,2020,3723.0
3002,2,2019,3718.0
3002,2,2020,3755.0
3002,3,2019,3773.0
3002,3,2020,3774.0
3002,4,2019,3803.0
3002,4,2020,3664.0
3002,5,2019,3785.0
3002,5,2020,3697.0
3002,6,2019,3802.0
3002,6,2020,3739.0
3002,7,2019,3696.0
3002,7,2020,3726.0
3002,8,2019,3639.0
3002,8,2020,3784.0
3008,1,2019,30288.0
3008,1,2020,31616.0
3008,2,2019,30733.0
3008,2,2020,31957.0
3008,3,2019,31378.0
3008,3,2020,31440.0
3008,4,2019,30993.0
3008,4,2020,29645.0
3008,5,2019,31132.0
3008,5,2020,28673.0
3008,6,2019,31020.0
3008,6,2020,29375.0
3008,7,2019,31124.0
3008,7,2020,29875.0
3008,8,2019,31323.0
3008,8,2020,30237.0
4001,1,2019,401.0
4001,1,2020,515.0
4001,2,2019,404.0
4001,2,2020,517.0
4001,3,2019,397.0
4001,3,2020,496.0
4001,4,2019,413.0
4001,4,2020,470.0
4001,5,2019,396.0
4001,5,2020,440.0
4001,6,2019,456.0
4001,6,2020,442.0
4001,7,2019,409.0
4001,7,2020,424.0
4001,8,2019,452.0
4001,8,2020,459.0
4002,1,2019,16421.0
4002,1,2020,15819.0
4002,2,2019,16541.0
4002,2,2020,15806.0
4002,3,2019,16405.0
4002,3,2020,15890.0
4002,4,2019,16359.0
4002,4,2020,15576.0
4002,5,2019,16451.0
4002,5,2020,15181.0
4002,6,2019,16376.0
4002,6,2020,15153.0
4002,7,2019,16108.0
4002,7,2020,15118.0
4002,8,2019,16202.0
4002,8,2020,14787.0
4003,1,2019,13175.0
4003,1,2020,13285.0
4003,2,2019,13483.0
4003,2,2020,13205.0
4003,3,2019,13550.0
4003,3,2020,13198.0
4003,4,2019,13578.0
4003,4,2020,13314.0
4003,5,2019,13349.0
4003,5,2020,13357.0
4003,6,2019,13504.0
4003,6,2020,13389.0
4003,7,2019,13204.0
4003,7,2020,13376.0
4003,8,2019,13161.0
4003,8,2020,13652.0
4004,1,2019,1444.0
4004,1,2020,1119.0
4004,2,2019,1245.0
4004,2,2020,1138.0
4004,3,2019,1314.0
4004,3,2020,1093.0
4004,4,2019,1326.0
4004,4,2020,1120.0
4004,5,2019,1304.0
4004,5,2020,1113.0
4004,6,2019,1250.0
4004,6,2020,1114.0
4004,7,2019,1174.0
4004,7,2020,1114.0
4004,8,2019,1204.0
4004,8,2020,1105.0
4005,1,2019,208.0
4005,1,2020,192.0
4005,2,2019,208.0
4005,2,2020,197.0
4005,3,2019,206.0
4005,3,2020,197.0
4005,4,2019,209.0
4005,4,2020,207.0
4005,5,2019,203.0
4005,5,2020,207.0
4005,6,2019,202.0
4005,6,2020,209.0
4005,7,2019,196.0
4005,7,2020,239.0
4005,8,2019,194.0
4005,8,2020,202.0
4006,1,2019,103.0
4006,1,2020,106.0
4006,2,2019,94.0
4006,2,2020,103.0
4006,3,2019,94.0
4006,3,2020,112.0
4006,4,2019,91.0
4006,4,2020,116.0
4006,5,2019,92.0
4006,5,2020,104.0
4006,6,2019,92.0
4006,6,2020,112.0
4006,7,2019,104.0
4006,7,2020,106.0
4006,8,2019,103.0
4006,8,2020,123.0
4007,1,2019,133.0
4007,1,2020,127.0
4007,2,2019,135.0
4007,2,2020,113.0
4007,3,2019,137.0
4007,3,2020,115.0
4007,4,2019,133.0
4007,4,2020,124.0
4007,5,2019,128.0
4007,5,2020,120.0
4007,6,2019,126.0
4007,6,2020,138.0
4007,7,2019,127.0
4007,7,2020,130.0
4007,8,2019,142.0
4007,8,2020,139.0
4008,1,2019,36.0
4008,1,2020,46.0
4008,2,2019,37.0
4008,2,2020,42.0
4008,3,2019,35.0
4008,3,2020,59.0
4008,4,2019,34.0
4008,4,2020,63.0
4008,5,2019,32.0
4008,5,2020,67.0
4008,6,2019,31.0
4008,6,2020,94.0
4008,7,2019,29.0
4008,7,2020,110.0
4008,8,2019,34.0
4008,8,2020,116.0
4009,1,2019,867.0
4009,1,2020,992.0
4009,2,2019,857.0
4009,2,2020,979.0
4009,3,2019,856.0
4009,3,2020,986.0
4009,4,2019,931.0
4009,4,2020,993.0
4009,5,2019,976.0
4009,5,2020,957.0
4009,6,2019,976.0
4009,6,2020,954.0
4009,7,2019,1007.0
4009,7,2020,977.0
4009,8,2019,988.0
4009,8,2020,968.0
4010,1,2019,151.0
4010,1,2020,124.0
4010,2,2019,130.0
4010,2,2020,128.0
4010,3,2019,145.0
4010,3,2020,134.0
4010,4,2019,121.0
4010,4,2020,129.0
4010,5,2019,122.0
4010,5,2020,118.0
4010,6,2019,116.0
4010,6,2020,118.0
4010,7,2019,103.0
4010,7,2020,118.0
4010,8,2019,116.0
4010,8,2020,119.0
4011,1,2019,191.0
4011,1,2020,210.0
4011,2,2019,199.0
4011,2,2020,196.0
4011,3,2019,205.0
4011,3,2020,223.0
4011,4,2019,207.0
4011,4,2020,231.0
4011,5,2019,205.0
4011,5,2020,193.0
4011,6,2019,196.0
4011,6,2020,236.0
4011,7,2019,194.0
4011,7,2020,187.0
4011,8,2019,193.0
4011,8,2020,194.0
5002,1,2019,7241.0
5002,1,2020,7597.0
5002,2,2019,7345.0
5002,2,2020,7628.0
5002,3,2019,7423.0
5002,3,2020,7708.0
5002,4,2019,7465.0
5002,4,2020,7789.0
5002,5,2019,7340.0
5002,5,2020,7536.0
5002,6,2019,7251.0
5002,6,2020,7635.0
5002,7,2019,7223.0
5002,7,2020,7444.0
5002,8,2019,7362.0
5002,8,2020,7340.0
5005,1,2019,37.0
5005,1,2020,31.0
5005,2,2019,43.0
5005,2,2020,33.0
5005,3,2019,43.0
5005,3,2020,36.0
5005,4,2019,41.0
5005,4,2020,35.0
5005,5,2019,18.0
5005,5,2020,35.0
5005,6,2019,39.0
5005,6,2020,36.0
5005,7,2019,32.0
5005,7,2020,34.0
5005,8,2019,28.0
5005,8,2020,34.0
5006,1,2019,1701.0
5006,1,2020,1897.0
5006,2,2019,1614.0
5006,2,2020,1823.0
5006,3,2019,1568.0
5006,3,2020,1913.0
5006,4,2019,1529.0
5006,4,2020,1909.0
5006,5,2019,1750.0
5006,5,2020,1871.0
5006,6,2019,1742.0
5006,6,2020,1740.0
5006,7,2019,1790.0
5006,7,2020,1799.0
5006,8,2019,1695.0
5006,8,2020,1935.0
5007,1,2019,804.0
5007,1,2020,797.0
5007,2,2019,825.0
5007,2,2020,816.0
5007,3,2019,810.0
5007,3,2020,818.0
5007,4,2019,810.0
5007,4,2020,838.0
5007,5,2019,821.0
5007,5,2020,857.0
5007,6,2019,801.0
5007,6,2020,852.0
5007,7,2019,812.0
5007,7,2020,838.0
5007,8,2019,813.0
5007,8,2020,814.0
5008,1,2019,51.0
5008,1,2020,48.0
5008,2,2019,52.0
5008,2,2020,59.0
5008,3,2019,50.0
5008,3,2020,62.0
5008,4,2019,49.0
5008,4,2020,69.0
5008,5,2019,50.0
5008,5,2020,68.0
5008,6,2019,50.0
5008,6,2020,59.0
5008,7,2019,48.0
5008,7,2020,52.0
5008,8,2019,58.0
5008,8,2020,57.0
5010,1,2019,4594.0
5010,1,2020,4241.0
5010,2,2019,4497.0
5010,2,2020,4327.0
5010,3,2019,4519.0
5010,3,2020,4531.0
5010,4,2019,4564.0
5010,4,2020,4314.0
5010,5,2019,4468.0
5010,5,2020,4279.0
5010,6,2019,4489.0
5010,6,2020,4322.0
5010,7,2019,4388.0
5010,7,2020,4409.0
5010,8,2019,4442.0
5010,8,2020,4213.0
5011,1,2019,277.0
5011,1,2020,293.0
5011,2,2019,240.0
5011,2,2020,244.0
5011,3,2019,257.0
5011,3,2020,234.0
5011,4,2019,253.0
5011,4,2020,231.0
5011,5,2019,268.0
5011,5,2020,230.0
5011,6,2019,313.0
5011,6,2020,235.0
5011,7,2019,288.0
5011,7,2020,252.0
5011,8,2019,296.0
5011,8,2020,241.0
5016,1,2019,31.0
5016,1,2020,29.0
5016,2,2019,29.0
5016,2,2020,31.0
5016,3,2019,27.0
5016,3,2020,26.0
5016,4,2019,29.0
5016,4,2020,26.0
5016,5,2019,27.0
5016,5,2020,26.0
5016,6,2019,27.0
5016,6,2020,25.0
5016,7,2019,26.0
5016,7,2020,23.0
5016,8,2019,27.0
5016,8,2020,23.0
5018,1,2019,19958.0
5018,1,2020,19146.0
5018,2,2019,20100.0
5018,2,2020,19076.0
5018,3,2019,20059.0
5018,3,2020,18705.0
5018,4,2019,19955.0
5018,4,2020,18557.0
5018,5,2019,19786.0
5018,5,2020,18545.0
5018,6,2019,19619.0
5018,6,2020,18205.0
5018,7,2019,19430.0
5018,7,2020,18399.0
5018,8,2019,19629.0
5018,8,2020,18284.0
5020,1,2019,4253.0
5020,1,2020,4089.0
5020,2,2019,4147.0
5020,2,2020,3975.0
5020,3,2019,4192.0
5020,3,2020,3931.0
5020,4,2019,4159.0
5020,4,2020,3925.0
5020,5,2019,4278.0
5020,5,2020,3855.0
5020,6,2019,4236.0
5020,6,2020,3685.0
5020,7,2019,4307.0
5020,7,2020,3655.0
5020,8,2019,4272.0
5020,8,2020,3607.0
5021,1,2019,113.0
5021,1,2020,121.0
5021,2,2019,114.0
5021,2,2020,121.0
5021,3,2019,112.0
5021,3,2020,123.0
5021,4,2019,111.0
5021,4,2020,124.0
5021,5,2019,111.0
5021,5,2020,123.0
5021,6,2019,111.0
5021,6,2020,123.0
5021,7,2019,114.0
5021,7,2020,126.0
5021,8,2019,118.0
5021,8,2020,124.0
5022,1,2019,2459.0
5022,1,2020,2286.0
5022,2,2019,2347.0
5022,2,2020,2155.0
5022,3,2019,2195.0
5022,3,2020,2071.0
5022,4,2019,2226.0
5022,4,2020,2099.0
5022,5,2019,2227.0
5022,5,2020,2017.0
5022,6,2019,2242.0
5022,6,2020,1970.0
5022,7,2019,2413.0
5022,7,2020,1847.0
5022,8,2019,2311.0
5022,8,2020,1884.0
5024,1,2019,2115.0
5024,1,2020,2266.0
5024,2,2019,2098.0
5024,2,2020,2347.0
5024,3,2019,2097.0
5024,3,2020,2210.0
5024,4,2019,2109.0
5024,4,2020,2072.0
5024,5,2019,2084.0
5024,5,2020,2064.0
