asegurados,Month,Month ID,Municipality,cve_mun,year,mes
263074,2019-01,201901,Aguascalientes,1001,2019,1
263713,2019-02,201902,Aguascalientes,1001,2019,2
264594,2019-03,201903,Aguascalientes,1001,2019,3
265194,2019-04,201904,Aguascalientes,1001,2019,4
263724,2019-05,201905,Aguascalientes,1001,2019,5
267435,2019-06,201906,Aguascalientes,1001,2019,6
277291,2019-07,201907,Aguascalientes,1001,2019,7
278341,2019-08,201908,Aguascalientes,1001,2019,8
280129,2019-09,201909,Aguascalientes,1001,2019,9
277931,2019-10,201910,Aguascalientes,1001,2019,10
274485,2019-11,201911,Aguascalientes,1001,2019,11
265720,2019-12,201912,Aguascalientes,1001,2019,12
271747,2020-01,202001,Aguascalientes,1001,2020,1
275046,2020-02,202002,Aguascalientes,1001,2020,2
272172,2020-03,202003,Aguascalientes,1001,2020,3
265912,2020-04,202004,Aguascalientes,1001,2020,4
263699,2020-05,202005,Aguascalientes,1001,2020,5
260651,2020-06,202006,Aguascalientes,1001,2020,6
260132,2020-07,202007,Aguascalientes,1001,2020,7
260791,2020-08,202008,Aguascalientes,1001,2020,8
1250,2019-01,201901,Asientos,1002,2019,1
1250,2019-02,201902,Asientos,1002,2019,2
1222,2019-03,201903,Asientos,1002,2019,3
1213,2019-04,201904,Asientos,1002,2019,4
1193,2019-05,201905,Asientos,1002,2019,5
1209,2019-06,201906,Asientos,1002,2019,6
1187,2019-07,201907,Asientos,1002,2019,7
1178,2019-08,201908,Asientos,1002,2019,8
1160,2019-09,201909,Asientos,1002,2019,9
1147,2019-10,201910,Asientos,1002,2019,10
1081,2019-11,201911,Asientos,1002,2019,11
1126,2019-12,201912,Asientos,1002,2019,12
1121,2020-01,202001,Asientos,1002,2020,1
1196,2020-02,202002,Asientos,1002,2020,2
1206,2020-03,202003,Asientos,1002,2020,3
1144,2020-04,202004,Asientos,1002,2020,4
1149,2020-05,202005,Asientos,1002,2020,5
1205,2020-06,202006,Asientos,1002,2020,6
