cve_mun,mes,year,asegurados
1001,1,2019,202579.0
1001,1,2020,201953.0
1001,2,2019,206440.0
1001,2,2020,206487.0
1001,3,2019,209190.0
1001,3,2020,205621.0
1001,4,2019,209260.0
1001,4,2020,199146.0
1001,5,2019,206848.0
1001,5,2020,198382.0
1001,6,2019,210378.0
1001,6,2020,195705.0
1001,7,2019,209953.0
1001,7,2020,193130.0
1001,8,2019,211002.0
1001,8,2020,193931.0
1002,1,2019,1037.0
1002,1,2020,950.0
1002,2,2019,1093.0
1002,2,2020,1011.0
1002,3,2019,1070.0
1002,3,2020,1020.0
1002,4,2019,1032.0
1002,4,2020,967.0
1002,5,2019,1021.0
1002,5,2020,984.0
1002,6,2019,1045.0
1002,6,2020,1036.0
1002,7,2019,1021.0
1002,7,2020,1000.0
1002,8,2019,1020.0
1002,8,2020,1000.0
1003,1,2019,4577.0
1003,1,2020,4798.0
1003,2,2019,4585.0
1003,2,2020,4861.0
1003,3,2019,4621.0
1003,3,2020,4715.0
1003,4,2019,4639.0
1003,4,2020,4671.0
1003,5,2019,4619.0
1003,5,2020,4585.0
1003,6,2019,4605.0
1003,6,2020,4459.0
1003,7,2019,4624.0
1003,7,2020,4520.0
1003,8,2019,4573.0
1003,8,2020,4656.0
1004,1,2019,1583.0
1004,1,2020,1534.0
1004,2,2019,1624.0
1004,2,2020,1592.0
1004,3,2019,1612.0
1004,3,2020,1571.0
1004,4,2019,1596.0
1004,4,2020,1404.0
1004,5,2019,1491.0
1004,5,2020,1373.0
1004,6,2019,1422.0
1004,6,2020,1307.0
1004,7,2019,1371.0
1004,7,2020,1389.0
1004,8,2019,1307.0
1004,8,2020,1504.0
1006,1,2019,2614.0
1006,1,2020,2985.0
1006,2,2019,2671.0
1006,2,2020,3058.0
1006,3,2019,2698.0
1006,3,2020,3378.0
1006,4,2019,2663.0
1006,4,2020,3164.0
1006,5,2019,2629.0
1006,5,2020,3036.0
1006,6,2019,2635.0
1006,6,2020,3033.0
1006,7,2019,2634.0
1006,7,2020,3090.0
1006,8,2019,2622.0
1006,8,2020,3116.0
1007,1,2019,3319.0
1007,1,2020,3396.0
