cve_mun,mes,year,categoria_edad,asegurados
1001,1,2019,Jóvenes,44262.0
1001,1,2019,Mayores,21521.0
1001,1,2020,Jóvenes,43312.0
1001,1,2020,Mayores,22810.0
1001,2,2019,Jóvenes,44346.0
1001,2,2019,Mayores,21680.0
1001,2,2020,Jóvenes,43994.0
1001,2,2020,Mayores,22980.0
1001,3,2019,Jóvenes,44397.0
1001,3,2019,Mayores,21819.0
1001,3,2020,Jóvenes,42705.0
1001,3,2020,Mayores,22904.0
1001,4,2019,Jóvenes,44641.0
1001,4,2019,Mayores,21994.0
1001,4,2020,Jóvenes,40348.0
1001,4,2020,Mayores,22620.0
1001,5,2019,Jóvenes,43565.0
1001,5,2019,Mayores,22110.0
1001,5,2020,Jóvenes,39276.0
1001,5,2020,Mayores,22509.0
1001,6,2019,Jóvenes,44845.0
1001,6,2019,Mayores,22252.0
1001,6,2020,Jóvenes,38604.0
1001,6,2020,Mayores,22297.0
1001,7,2019,Jóvenes,47163.0
1001,7,2019,Mayores,22328.0
1001,7,2020,Jóvenes,38800.0
1001,7,2020,Mayores,22181.0
1001,8,2019,Jóvenes,47170.0
1001,8,2019,Mayores,22481.0
1001,8,2020,Jóvenes,38948.0
1001,8,2020,Mayores,22128.0
1001,9,2019,Jóvenes,47209.0
1001,9,2019,Mayores,22700.0
1001,10,2019,Jóvenes,46697.0
1001,10,2019,Mayores,22761.0
1001,11,2019,Jóvenes,46006.0
1001,11,2019,Mayores,22823.0
1001,12,2019,Jóvenes,43291.0
1001,12,2019,Mayores,22668.0
1002,1,2019,Jóvenes,122.0
1002,1,2019,Mayores,184.0
1002,1,2020,Jóvenes,96.0
1002,1,2020,Mayores,196.0
1002,2,2019,Jóvenes,125.0
1002,2,2019,Mayores,184.0
1002,2,2020,Jóvenes,114.0
1002,2,2020,Mayores,201.0
1002,3,2019,Jóvenes,111.0
1002,3,2019,Mayores,183.0
1002,3,2020,Jóvenes,120.0
1002,3,2020,Mayores,204.0
1002,4,2019,Jóvenes,115.0
1002,4,2019,Mayores,183.0
1002,4,2020,Jóvenes,104.0
1002,4,2020,Mayores,206.0
1002,5,2019,Jóvenes,113.0
1002,5,2019,Mayores,184.0
1002,5,2020,Jóvenes,99.0
1002,5,2020,Mayores,206.0
1002,6,2019,Jóvenes,120.0
1002,6,2019,Mayores,188.0
1002,6,2020,Jóvenes,115.0
1002,6,2020,Mayores,212.0
1002,7,2019,Jóvenes,112.0
1002,7,2019,Mayores,186.0
1002,7,2020,Jóvenes,107.0
1002,7,2020,Mayores,210.0
1002,8,2019,Jóvenes,115.0
1002,8,2019,Mayores,189.0
1002,8,2020,Jóvenes,105.0
1002,8,2020,Mayores,211.0
1002,9,2019,Jóvenes,97.0
1002,9,2019,Mayores,191.0
1002,10,2019,Jóvenes,95.0
1002,10,2019,Mayores,191.0
1002,11,2019,Jóvenes,85.0
1002,11,2019,Mayores,181.0
1002,12,2019,Jóvenes,88.0
1002,12,2019,Mayores,187.0
1003,1,2019,Jóvenes,1139.0
1003,1,2019,Mayores,383.0
1003,1,2020,Jóvenes,1166.0
1003,1,2020,Mayores,435.0
1003,2,2019,Jóvenes,1140.0
1003,2,2019,Mayores,381.0
1003,2,2020,Jóvenes,1181.0
1003,2,2020,Mayores,445.0
1003,3,2019,Jóvenes,1161.0
1003,3,2019,Mayores,383.0
1003,3,2020,Jóvenes,1140.0
1003,3,2020,Mayores,435.0
1003,4,2019,Jóvenes,1169.0
1003,4,2019,Mayores,394.0
1003,4,2020,Jóvenes,1109.0
1003,4,2020,Mayores,429.0
1003,5,2019,Jóvenes,1151.0
1003,5,2019,Mayores,402.0
1003,5,2020,Jóvenes,1085.0
1003,5,2020,Mayores,427.0
