cve_ent,cve_mun,mes,numero_de_transacciones_en_cajeros_automaticos,numero_de_transacciones_en_tpv
1,1001,2,-14.653296287479955,-2.7781470226668326
1,1001,3,-17.01959936373698,-5.171214561507098
1,1001,4,-35.14548383671835,-27.769826132027543
1,1001,5,-27.07909024666585,-24.810371281746903
1,1001,6,-27.947188812165212,-12.945141887930223
1,1001,7,-21.023101622218597,-5.030454974965204
1,1001,8,-23.504110451070925,-2.1806400954609617
1,1002,2,-12.861342479176873,3.2177950545297485
1,1002,3,-8.317001469867702,15.527480833603292
1,1002,4,-1.8557079862812298,17.7410646798402
1,1002,5,-0.5450759431651075,26.584602094806176
1,1002,6,1.5127388535031816,17.535903250188966
1,1002,7,-2.7008819206271517,15.451895043731788
1,1002,8,-12.402008819206278,16.898823021272015
1,1003,2,-14.590740378980271,-4.654061915645125
1,1003,3,-15.96405547958586,-3.7294826511531265
1,1003,4,-23.23305333072866,-37.84541865780179
1,1003,5,-19.26352803281891,-31.217535840432163
1,1003,6,-13.121703457706591,-12.715562019530447
1,1003,7,-7.32955655401446,10.450862248078119
1,1003,8,-7.974213713615952,9.754830666943693
1,1004,2,-10.378966692892732,2.224469160768461
1,1004,3,-3.4356150013112874,13.119312436804865
1,1004,4,11.487018095987423,-3.7917087967644036
1,1004,5,21.708628376606363,11.931243680485348
1,1004,6,-3.7109887227904426,12.866531850353912
1,1004,7,-9.225019669551514,8.240647118301347
1,1004,8,-21.95777602937319,7.457027300303376
1,1005,2,-7.335852788471731,-3.7459876613472387
1,1005,3,-20.19213788718963,-2.24463314134814
1,1005,4,-17.877535643226317,-15.271928426707937
1,1005,5,-30.34059736987721,-9.897102010153203
1,1005,6,-27.63983564675826,-0.1240694789081842
1,1005,7,-21.995785210562868,0.6328681676417869
1,1005,8,-27.94711498840343,8.520955221162406
1,1006,2,-7.344738772238046,-5.277917595455528
1,1006,3,-3.8309993688914745,1.2727403465880638
1,1006,4,-7.286745015095441,-20.967857913281062
1,1006,5,11.774438398690013,-8.564032501617868
1,1006,6,-3.7167175533457386,-1.0426403969224007
1,1006,7,1.901854094529809,-0.07909685769755814
1,1006,8,0.7641530352908932,-1.7760839864816247
1,1007,2,-9.950968708502161,0.4527191443608247
1,1007,3,23.228574347100682,7.7018844434384
1,1007,4,-16.597432667097955,-13.185445079508796
1,1007,5,34.635159521944914,-3.5425273046233885
1,1007,6,16.35397868500801,3.4519834757512413
1,1007,7,24.14961353808438,5.8683719087770925
1,1007,8,21.2571078347918,10.537038084998018
1,1008,2,0.4945786570287325,-1.9098143236074283
1,1008,3,18.965189271447613,-14.111405835543767
1,1008,4,17.215141715807512,-39.469496021220166
1,1008,5,36.46566482784861,-21.061007957559685
1,1008,6,22.37017310252998,9.177718832891246
1,1008,7,7.418679855430876,33.47480106100795
1,1008,8,24.93817766787143,37.45358090185675
1,1009,2,17.274052478134116,-0.16550810989738318
1,1009,3,9.25655976676385,13.604766633565045
1,1009,4,17.784256559766764,6.38861304203906
1,1009,5,22.37609329446064,9.069844422376683
1,1009,6,15.451895043731767,2.2509102946044246
1,1009,7,45.991253644314845,1.1916583912611634
1,1009,8,200.94752186588914,0.6951340615690027
1,1010,2,-14.126186487995529,-12.941176470588234
1,1010,3,62.239770279971296,-14.06417112299465
1,1010,4,-20.54718034617531,-45.57932263814617
1,1010,5,44.986838956688224,-26.274509803921575
1,1010,6,51.58331339235864,-16.648841354723707
1,1010,7,66.19605966339638,-11.800356506238852
1,1010,8,61.258674324000985,-16.880570409982166
1,1011,2,-17.486122508085145,-7.982784950714983
1,1011,3,-23.388521504078774,1.2703040399833387
1,1011,4,-49.126804073948925,4.764218612615112
1,1011,5,-40.30313269295747,-5.252441112499429
1,1011,6,-24.85205386880339,1.8094312554953973
1,1011,7,-21.362166336824817,2.1518811606275223
1,1011,8,-26.441087029975375,2.9061964922023398
2,2001,2,-16.36748398136888,-1.7220307328929874
2,2001,3,-18.42755444892544,-2.533715443453022
2,2001,4,-35.1990492167334,-25.57989928940617
2,2001,5,-29.148260662664217,-16.79766931136729
2,2001,6,-28.644869471589473,-10.181974134680082
2,2001,7,-19.924509346805173,-2.3213929202586248
2,2001,8,-22.269983032027653,6.361225048142294
2,2002,2,-15.953994418129025,-4.02456513774273
2,2002,3,-18.782160343459463,-0.07274165314536951
2,2002,4,-34.12814740636274,-29.58314868770754
2,2002,5,-23.967740805294024,-22.508737954417246
2,2002,6,-30.43344009652963,-13.006240149810122
2,2002,7,-21.635890914425037,-8.595378916086549
2,2002,8,-23.8162009781557,-0.5857482654942237
2,2003,2,-16.464502233183808,-2.8211612155779386
2,2003,3,-6.260607022149134,-4.850280723643174
2,2003,4,-19.044803100014896,-20.9935611799305
2,2003,5,-12.229385718200557,-12.457111665626963
2,2003,6,-16.158731532363124,-9.003765261563146
2,2003,7,-5.32791023033764,-0.5970947330897536
2,2003,8,-6.82070586877821,4.347317529631911
2,2004,2,-20.232633300921776,-1.0959841104484114
2,2004,3,-22.05885890136723,-7.085236530704919
2,2004,4,-39.05206021637131,-26.66355667998428
2,2004,5,-36.21953744833804,-19.625804685204486
2,2004,6,-33.49486580538746,-12.467421458526529
2,2004,7,-23.03087373234839,0.3332980359384452
2,2004,8,-25.065336880633605,9.648709832518598
2,2005,2,-8.90007140513731,-2.8534430930028165
2,2005,3,-10.26690082405388,-15.369436865066511
2,2005,4,-26.418453403323227,-25.331051812113635
2,2005,5,-20.36493814771213,-11.44100674693098
2,2005,6,-20.985873362024044,-9.313642366410246
2,2005,7,-6.039523708435446,4.441258536434978
2,2005,8,-6.032286701275624,23.780747866212447
3,3001,2,-27.246069154103548,-3.5336247621247985
3,3001,3,-29.446263447630695,-24.48913829897189
3,3001,4,-41.649875868024324,-36.4737926883394
3,3001,5,-34.24693268089087,-26.33802902533484
3,3001,6,-32.214046702407074,-25.163396705922402
3,3001,7,-25.98496024178749,-18.63360834645573
3,3001,8,-34.55456409887381,-15.518279151492308
3,3002,2,-2.796293476096201,-4.073713172073823
3,3002,3,1.785316823448091,1.9586151553364628
3,3002,4,-18.588849970127587,-9.547174137338077
3,3002,5,-4.7608448625282795,0.5353662730712028
3,3002,6,-6.021344142075624,2.3976842829302125
3,3002,7,-0.1991495144266553,7.1758569299553265
3,3002,8,-0.5845623982287718,8.805456838243742
3,3003,2,-15.000530120181367,-2.489914439324359
3,3003,3,-18.574475648773557,-3.617474635187279
3,3003,4,-44.04893321109385,-42.634287300111474
3,3003,5,-38.07245183702235,-38.468672437609065
3,3003,6,-32.75971211355798,-25.900566484737208
3,3003,7,-26.29193406552286,-14.461667029898406
3,3003,8,-29.46875721119365,-11.725356032443123
3,3008,2,-17.386803102785354,-1.448158395696375
3,3008,3,-22.710075110654092,-11.73889475482527
3,3008,4,-50.56794049269012,-50.288030321324875
3,3008,5,-46.315721822327525,-45.667642039153634
3,3008,6,-42.905144856261444,-37.25597490578109
3,3008,7,-35.64067599588678,-24.799209425917525
3,3008,8,-34.28739884651494,-22.983423805768165
3,3009,2,-1.134049773755652,-1.5083507306889343
3,3009,3,-8.52375565610859,-2.5900313152400822
3,3009,4,-33.7697963800905,-30.079592901878915
3,3009,5,-28.209841628959275,-23.52557411273487
3,3009,6,-29.779411764705888,-21.312630480167016
3,3009,7,-25.005656108597286,-8.969206680584541
3,3009,8,-24.773755656108598,-9.168841336116895
4,4001,2,-9.343728896801517,-7.813824458657626
4,4001,3,-1.7660179671352805,-0.6550050088618309
4,4001,4,-22.272699367671432,-33.705787161901824
4,4001,5,-8.236642314854613,-26.80126377437003
4,4001,6,-12.834837415843015,-16.475302458195262
4,4001,7,-12.09200482943501,-18.016490714340748
4,4001,8,-19.055804530664876,-13.893812129151573
4,4002,2,-19.025297180621937,-8.54886031103077
4,4002,3,-19.83953952122365,-10.558133586321826
4,4002,4,-42.022254820172,-43.61245421105578
4,4002,5,-39.338713028807845,-38.256555526074166
4,4002,6,-40.11294879468566,-31.680127359598064
4,4002,7,-34.68833637776132,-22.26464148616738
4,4002,8,-33.281128371484314,-15.847603703965262
4,4003,2,-13.482122323439615,-0.4655918453188024
4,4003,3,-14.632711925999919,-0.785756156059414
4,4003,4,-34.98238302309781,-28.273126334017963
4,4003,5,-35.996741693160885,-26.49622559614103
4,4003,6,-36.2477858084586,-20.733491737478705
4,4003,7,-31.69072067216622,-14.834950934987202
4,4003,8,-31.302743403069755,-11.766429955387325
4,4004,2,-6.155110144977149,-6.330388099765127
4,4004,3,0.6384471868955632,5.1196734146068845
4,4004,4,-14.63635896821458,-18.862543339671166
4,4004,5,-8.397377745066159,-21.938261939380375
4,4004,6,-12.044913818188041,-16.301308578458784
4,4004,7,-4.010406860311866,-2.6367296722961564
4,4004,8,-23.346969515430573,-28.934123699809856
4,4005,2,-37.66758494031222,-11.707841031149302
4,4005,3,-38.4144475053566,4.439670605084123
4,4005,4,-35.76981940618303,-9.762501491824816
4,4005,5,-35.123966942148755,-17.400644468313654
4,4005,6,-33.997551270278535,-8.00811552691253
4,4005,7,-36.69727578818488,-4.081632653061229
4,4005,8,-36.81971227425773,-12.722281895214238
4,4006,2,-0.02597672485452618,-6.16695059625213
4,4006,3,37.72859517871987,4.63373083475298
4,4006,4,1.8183707398171212,-12.879045996592842
4,4006,5,16.645885286783034,4.020442930153312
4,4006,6,15.523690773067322,-3.236797274275993
4,4006,7,22.568578553615957,26.74616695059624
4,4006,8,-4.322527015793853,11.311754684838139
4,4007,2,-17.604286261002677,-3.1969552806850654
4,4007,3,-20.168388825105243,9.09609895337773
4,4007,4,-34.07686840522661,4.928639391056122
4,4007,5,-30.49587228691706,1.8458610846812329
4,4007,6,-31.04805642119074,1.4272121788772463
4,4007,7,-28.380077633808966,-24.90960989533778
4,4007,8,-24.454649827784138,-49.533777354900096
4,4008,2,-27.221438645980257,1.3373597929249303
4,4008,3,-16.98401504466385,25.452976704055217
4,4008,4,-25.070521861777152,-24.15875754961173
4,4008,5,-24.447578749412312,35.11647972389993
4,4008,6,-37.65867418899859,76.40207075064713
4,4008,7,-32.95721673718853,82.70060396893876
4,4008,8,-51.06958157028679,69.15444348576361
4,4009,2,-8.597661382877863,-8.540129666890229
4,4009,3,-5.103042198233565,-4.843878083314701
4,4009,4,-22.369887393755928,-23.597138385870775
4,4009,5,-18.0851948570383,-14.263357925329744
4,4009,6,-21.080820345636297,-12.27736791117071
4,4009,7,-23.592421949069376,-0.7563901930098926
4,4009,8,-17.702633023402814,-5.943065802220704
4,4010,2,-0.5299278950569031,-3.328509406657021
4,4010,3,4.300234558248639,-7.579594790159194
4,4010,4,-5.464338458865425,-37.6808972503618
4,4010,5,-17.461558509252008,-36.79450072358901
4,4010,6,-30.518634349752393,-41.37120115774241
4,4010,7,-53.592216141082424,-29.431982633863974
4,4010,8,-40.56120232820779,-38.83863965267729
4,4011,2,-1.73457508731083,-5.548956388936022
4,4011,3,0.31431897555296295,7.687086373663665
4,4011,4,-5.529685681024454,-31.34227049041235
4,4011,5,6.798603026775307,-7.551332088919049
4,4011,6,1.9208381839348032,3.648396402511467
4,4011,7,-7.555296856810257,-2.8508399796368433
4,4011,8,-17.811408614668224,-0.8824028508399584
5,5002,2,-13.20904492980427,-4.128393454815916
5,5002,3,-12.445283617971914,20.957605057642237
5,5002,4,-23.51386904356897,15.285886946820382
5,5002,5,-12.078712208840791,25.69914466344365
5,5002,6,-17.961432038284443,22.183432502789135
5,5002,7,-11.80994987639199,14.50725176645593
5,5002,8,-16.214193372797148,22.361937523242826
5,5003,2,-43.88089005235602,-2.944390735992597
5,5003,3,-40.27777777777779,4.894708082888499
5,5003,4,-45.60427574171031,-7.462906140977676
5,5003,5,-38.28170447934848,6.130469505275116
5,5003,6,-42.728330424665515,5.18683535790847
5,5003,7,-41.12492728330426,7.425076709680156
5,5003,8,-49.49825479930193,13.877096380984423
5,5004,2,-10.73993131439276,-2.793872984911938
5,5004,3,-29.98230825267978,8.81762377373645
5,5004,4,-66.72390467270267,-15.478171074522407
5,5004,5,-52.4144031637007,-2.1341288508978318
5,5004,6,-27.734415651992904,20.916757501003968
5,5004,7,-17.61889894890205,17.681142791578242
5,5004,8,-3.0752419606618564,23.217256611783643
5,5005,2,6.208053691275173,-8.62068965517241
5,5005,3,-7.550335570469802,0.9852216748768461
5,5005,4,20.134228187919454,120.44334975369458
5,5005,5,22.651006711409384,26.108374384236434
5,5005,6,-11.74496644295303,-10.591133004926123
5,5005,7,21.64429530201342,-11.57635467980297
5,5005,8,15.100671140939603,-4.679802955665046
5,5006,2,-34.148094895758454,-8.530574285049985
5,5006,3,-39.296269670101445,18.39339688444548
5,5006,4,-45.89424075405384,1.8298070216228757
5,5006,5,-48.993529834651326,1.006742617995826
5,5006,6,-43.55579519130921,5.433620088351576
5,5006,7,-33.08371275660995,6.563589862822639
5,5006,8,-30.765236840003197,12.197163450360415
5,5007,2,-47.01311885053882,-1.7976206040005271
5,5007,3,-43.13993440574732,3.4579683618773727
5,5007,4,-47.70420115570827,-21.649888874362667
5,5007,5,-44.893018897391855,-14.714341744018844
5,5007,6,-43.09308136810871,-6.1968884821545505
5,5007,7,-37.62298922380135,7.098967185252958
5,5007,8,-38.62252069342497,28.36972153222641
5,5008,2,-75.63854310742278,-2.9230769230769282
5,5008,3,-79.81558321807285,-8.923076923076934
5,5008,4,-81.92715537113877,-22.923076923076934
5,5008,5,-75.01152604887045,-17.07692307692309
5,5008,6,-75.35269709543569,-14.46153846153847
5,5008,7,-69.66343937298294,-9.38461538461539
5,5008,8,-82.24988473951129,-96.92307692307692
5,5009,2,-17.781908960535397,-2.8371213295711795
5,5009,3,-18.99612258989749,15.642925800750351
5,5009,4,-29.427949221862214,14.024371337322862
5,5009,5,-29.875179263823238,14.233667173110899
5,5009,6,-29.74132894247624,6.505224644197072
5,5009,7,-27.220481223774375,0.6992031254844822
5,5009,8,-28.734264619960705,7.517596353601452
5,5010,2,-28.646257565694665,-5.170504492368111
5,5010,3,-24.20771669527951,47.57229458975032
5,5010,4,-43.22878159421562,30.114278538239358
5,5010,5,-29.39875440157391,32.02196522553174
5,5010,6,-30.295986265836262,41.12314911008872
5,5010,7,-23.05986140524554,38.87867751989316
5,5010,8,-25.70581822282928,41.68255454202963
5,5011,2,-5.44373284537969,14.714285714285724
5,5011,3,3.4309240622141024,71.04761904761907
5,5011,4,54.071363220494064,116.19047619047622
5,5011,5,10.018298261665137,179.4761904761905
5,5011,6,-7.570905763952429,154.76190476190484
5,5011,7,-9.652333028362314,141.6190476190477
5,5011,8,-5.7639524245196805,173.904761904762
5,5012,2,-4.88997555012225,8.923076923076923
5,5012,3,-15.892420537897312,24.307692307692296
5,5012,4,-19.559902200489,-8.923076923076934
5,5012,5,-9.53545232273838,18.46153846153844
5,5012,6,-12.224938875305625,47.07692307692304
5,5012,7,-6.112469437652813,61.2307692307692
5,5012,8,-20.78239608801956,43.99999999999997
5,5014,2,0.9847806624888156,-8.765432098765435
5,5014,3,242.07699194270367,1.8930041152263488
5,5014,4,33.66159355416296,24.36213991769549
5,5014,5,385.85496866606996,24.4238683127572
5,5014,6,283.2587287376903,17.263374485596717
5,5014,7,314.4136078782454,12.633744855967088
5,5014,8,249.32855863921225,20.349794238683128
5,5016,3,-5.922551252847363,-50.0
5,5016,4,12.756264236902082,-100.0
5,5017,2,-10.020186589557534,-2.4307163172167523
5,5017,3,-5.558404713841458,7.252463787287522
5,5017,4,-16.183097823121827,2.877174416297379
5,5017,5,-7.661083528834089,12.600039685164365
