"cve_mun","categoria","valor","cve","original"
"1001","sem_total",2,"total",-4.03169124222161
"1001","sem_mujeres",2,"mujeres",-3.39532262609182
"1001","sem_jovenes",1,"jovenes",-10.075729589952
"1001","sem_mayores",2,"mayores",-2.98991670320038
"1001","sem_uma",2,"uma",-3.97221135610762
"1001","sem_pyme",2,"pyme",-0.618419063932685
"1001","moda",2,NA,NA
"1002","sem_total",3,"total",0.713648528099919
"1002","sem_mujeres",3,"mujeres",6.7924528301887
"1002","sem_jovenes",3,"jovenes",9.37499999999998
"1002","sem_mayores",3,"mayores",7.65306122448979
"1002","sem_uma",3,"uma",5.26315789473681
"1002","sem_pyme",3,"pyme",8.74200426439231
"1002","moda",3,NA,NA
"1003","sem_total",2,"total",-2.7740319784242
"1003","sem_mujeres",3,"mujeres",2.84780578898223
"1003","sem_jovenes",2,"jovenes",-5.74614065180103
"1003","sem_mayores",3,"mayores",3.90804597701151
"1003","sem_uma",2,"uma",-2.95956648603588
"1003","sem_pyme",2,"pyme",-5.72082379862699
"1003","moda",2,NA,NA
"1004","sem_total",2,"total",-2.11180124223602
"1004","sem_mujeres",3,"mujeres",3.93603936039362
"1004","sem_jovenes",1,"jovenes",-13.2258064516129
"1004","sem_mayores",3,"mayores",4.7945205479452
"1004","sem_uma",2,"uma",-1.95567144719689
"1004","sem_pyme",1,"pyme",-14.5454545454546
"1004","moda",1,NA,NA
"1004","sem_total",2,"total",-2.11180124223602
"1004","sem_mujeres",3,"mujeres",3.93603936039362
"1004","sem_jovenes",1,"jovenes",-13.2258064516129
"1004","sem_mayores",3,"mayores",4.7945205479452
"1004","sem_uma",2,"uma",-1.95567144719689
"1004","sem_pyme",1,"pyme",-14.5454545454546
"1004","moda",2,NA,NA
"1004","sem_total",2,"total",-2.11180124223602
"1004","sem_mujeres",3,"mujeres",3.93603936039362
"1004","sem_jovenes",1,"jovenes",-13.2258064516129
"1004","sem_mayores",3,"mayores",4.7945205479452
"1004","sem_uma",2,"uma",-1.95567144719689
"1004","sem_pyme",1,"pyme",-14.5454545454546
"1004","moda",3,NA,NA
"1006","sem_total",3,"total",2.48249522597073
"1006","sem_mujeres",3,"mujeres",4.65380249716232
"1006","sem_jovenes",3,"jovenes",4.60048426150121
"1006","sem_mayores",3,"mayores",2.66666666666668
"1006","sem_uma",3,"uma",4.38860971524286
"1006","sem_pyme",3,"pyme",7.49370277078087
"1006","moda",3,NA,NA
"1007","sem_total",3,"total",4.60396039603961
"1007","sem_mujeres",3,"mujeres",7.98004987531167
"1007","sem_jovenes",3,"jovenes",8.29787234042552
"1007","sem_mayores",3,"mayores",7.00218818380742
"1007","sem_uma",3,"uma",3.85747938751473
"1007","sem_pyme",3,"pyme",1.45208131655372
"1007","moda",3,NA,NA
"1008","sem_total",2,"total",-3.14685314685315
"1008","sem_mujeres",2,"mujeres",-2.85714285714288
"1008","sem_jovenes",1,"jovenes",-34.6153846153846
"1008","sem_mayores",3,"mayores",9.99999999999996
"1008","sem_uma",2,"uma",-3.32103321033211
"1008","sem_pyme",1,"pyme",-16.6666666666667
"1008","moda",2,NA,NA
"1009","sem_total",2,"total",-4.90143846563668
"1009","sem_mujeres",2,"mujeres",-6.30372492836676
"1009","sem_jovenes",1,"jovenes",-11.340206185567
"1009","sem_mayores",3,"mayores",2.6086956521739
"1009","sem_uma",2,"uma",-4.37275985663083
"1009","sem_pyme",3,"pyme",2.22044604925031e-14
"1009","moda",2,NA,NA
"1010","sem_total",1,"total",-39.1205802357208
"1010","sem_mujeres",1,"mujeres",-18.5446009389671
"1010","sem_jovenes",1,"jovenes",-52.2105263157895
"1010","sem_mayores",2,"mayores",-5.88235294117645
"1010","sem_uma",1,"uma",-23.0169050715215
"1010","sem_pyme",1,"pyme",-24.2902208201893
"1010","moda",1,NA,NA
"1011","sem_total",2,"total",-3.37128427767688
"1011","sem_mujeres",2,"mujeres",-3.13312839914873
"1011","sem_jovenes",1,"jovenes",-12.6643464810518
"1011","sem_mayores",3,"mayores",8.45771144278604
"1011","sem_uma",1,"uma",-10.6550510973362
"1011","sem_pyme",2,"pyme",-8.87239307175682
"1011","moda",2,NA,NA
"2001","sem_total",3,"total",0.0787073475623901
"2001","sem_mujeres",2,"mujeres",-0.323828161401563
"2001","sem_jovenes",3,"jovenes",0.145213152162649
"2001","sem_mayores",3,"mayores",1.20165606381903
"2001","sem_uma",2,"uma",-0.584423286356606
"2001","sem_pyme",2,"pyme",-3.42639593908629
"2001","moda",2,NA,NA
"2001","sem_total",3,"total",0.0787073475623901
"2001","sem_mujeres",2,"mujeres",-0.323828161401563
"2001","sem_jovenes",3,"jovenes",0.145213152162649
"2001","sem_mayores",3,"mayores",1.20165606381903
"2001","sem_uma",2,"uma",-0.584423286356606
"2001","sem_pyme",2,"pyme",-3.42639593908629
"2001","moda",3,NA,NA
"2002","sem_total",2,"total",-0.883344112741213
"2002","sem_mujeres",2,"mujeres",-0.566245477900695
"2002","sem_jovenes",2,"jovenes",0
"2002","sem_mayores",2,"mayores",-3.04839874789312
"2002","sem_uma",2,"uma",-1.30934995150556
"2002","sem_pyme",2,"pyme",-1.64504606128973
"2002","moda",2,NA,NA
"2003","sem_total",2,"total",-2.04461687681861
"2003","sem_mujeres",2,"mujeres",-1.06995884773662
"2003","sem_jovenes",2,"jovenes",-1.14649681528659
"2003","sem_mayores",2,"mayores",-2.21176470588231
"2003","sem_uma",2,"uma",-2.92477746258437
"2003","sem_pyme",3,"pyme",0.551228280407434
"2003","moda",2,NA,NA
"2004","sem_total",3,"total",2.19691458098221
"2004","sem_mujeres",3,"mujeres",3.23493172494314
"2004","sem_jovenes",3,"jovenes",2.80780269494578
"2004","sem_mayores",3,"mayores",0.323572237502012
"2004","sem_uma",3,"uma",2.54915828340432
"2004","sem_pyme",2,"pyme",-0.918441990047936
"2004","moda",3,NA,NA
"2005","sem_total",3,"total",1.81305980930366
"2005","sem_mujeres",3,"mujeres",2.61065006915631
"2005","sem_jovenes",3,"jovenes",2.51501501501501
"2005","sem_mayores",3,"mayores",0.983899821109113
"2005","sem_uma",3,"uma",2.08562950402713
"2005","sem_pyme",3,"pyme",3.84543934608947
"2005","moda",3,NA,NA
"3001","sem_total",3,"total",26.0417738450458
"3001","sem_mujeres",3,"mujeres",17.6158940397351
"3001","sem_jovenes",3,"jovenes",79.2517006802721
"3001","sem_mayores",3,"mayores",4.00712377560108
"3001","sem_uma",3,"uma",28.622191655204
"3001","sem_pyme",3,"pyme",0.335195530726251
"3001","moda",3,NA,NA
"3002","sem_total",3,"total",11.8064516129033
"3002","sem_mujeres",3,"mujeres",17.3246165451345
"3002","sem_jovenes",3,"jovenes",28.109243697479
"3002","sem_mayores",3,"mayores",3.21856287425148
"3002","sem_uma",3,"uma",17.7130044843049
"3002","sem_pyme",3,"pyme",1.63846360461994
"3002","moda",3,NA,NA
"3008","sem_total",1,"total",-17.1051720898961
"3008","sem_mujeres",1,"mujeres",-19.4412363196392
"3008","sem_jovenes",1,"jovenes",-31.8811438784629
"3008","sem_mayores",2,"mayores",-7.00310842932893
"3008","sem_uma",1,"uma",-17.1458498880301
"3008","sem_pyme",2,"pyme",-4.36171558704455
"3008","moda",1,NA,NA
"4001","sem_total",2,"total",-9.70245795601552
"4001","sem_mujeres",1,"mujeres",-11.2291350531108
"4001","sem_jovenes",1,"jovenes",-30.5203938115331
"4001","sem_mayores",3,"mayores",9.52380952380951
"4001","sem_uma",1,"uma",-10.0509337860781
"4001","sem_pyme",1,"pyme",-10.873786407767
"4001","moda",1,NA,NA
"4002","sem_total",2,"total",-1.50120713754108
"4002","sem_mujeres",2,"mujeres",-0.367524223187443
"4002","sem_jovenes",2,"jovenes",-8.99902818270164
"4002","sem_mayores",2,"mayores",-1.3963880096816
"4002","sem_uma",3,"uma",0.745484564967258
"4002","sem_pyme",2,"pyme",-6.52380049307797
"4002","moda",2,NA,NA
"4003","sem_total",1,"total",-11.4260657124064
"4003","sem_mujeres",1,"mujeres",-10.6181523062356
"4003","sem_jovenes",1,"jovenes",-18.5044744425906
"4003","sem_mayores",1,"mayores",-10.3355704697987
"4003","sem_uma",1,"uma",-11.1763883060568
"4003","sem_pyme",3,"pyme",2.76251411366197
"4003","moda",1,NA,NA
"4004","sem_total",1,"total",-22.0875684128225
"4004","sem_mujeres",1,"mujeres",-14.2422398052343
"4004","sem_jovenes",1,"jovenes",-27.6073619631902
"4004","sem_mayores",1,"mayores",-25.4473161033797
"4004","sem_uma",1,"uma",-16.3961038961039
"4004","sem_pyme",2,"pyme",-1.25111706881145
"4004","moda",1,NA,NA
"4005","sem_total",1,"total",-14.7874306839187
"4005","sem_mujeres",1,"mujeres",-17.6352705410822
"4005","sem_jovenes",1,"jovenes",-22.8723404255319
"4005","sem_mayores",3,"mayores",11.1111111111111
"4005","sem_uma",1,"uma",-14.4465290806754
"4005","sem_pyme",3,"pyme",5.20833333333335
"4005","moda",1,NA,NA
"4006","sem_total",3,"total",2.17194570135744
"4006","sem_mujeres",3,"mujeres",7.3469387755102
"4006","sem_jovenes",2,"jovenes",-7.28744939271254
"4006","sem_mayores",2,"mayores",0
"4006","sem_uma",2,"uma",-0.096525096525113
"4006","sem_pyme",3,"pyme",16.0377358490566
"4006","moda",2,NA,NA
"4006","sem_total",3,"total",2.17194570135744
"4006","sem_mujeres",3,"mujeres",7.3469387755102
"4006","sem_jovenes",2,"jovenes",-7.28744939271254
"4006","sem_mayores",2,"mayores",0
"4006","sem_uma",2,"uma",-0.096525096525113
"4006","sem_pyme",3,"pyme",16.0377358490566
"4006","moda",3,NA,NA
"4007","sem_total",3,"total",14.5263157894737
"4007","sem_mujeres",3,"mujeres",12.6050420168067
"4007","sem_jovenes",3,"jovenes",22.4489795918367
"4007","sem_mayores",3,"mayores",5.97014925373136
"4007","sem_uma",3,"uma",13.8392857142857
"4007","sem_pyme",3,"pyme",9.44881889763776
"4007","moda",3,NA,NA
"4008","sem_total",2,"total",-1.45547945205479
"4008","sem_mujeres",1,"mujeres",-18.580375782881
"4008","sem_jovenes",1,"jovenes",-16.4251207729468
"4008","sem_mayores",3,"mayores",2.38095238095239
"4008","sem_uma",2,"uma",-3.18584070796457
"4008","sem_pyme",3,"pyme",152.173913043478
"4008","moda",1,NA,NA
"4008","sem_total",2,"total",-1.45547945205479
"4008","sem_mujeres",1,"mujeres",-18.580375782881
"4008","sem_jovenes",1,"jovenes",-16.4251207729468
"4008","sem_mayores",3,"mayores",2.38095238095239
"4008","sem_uma",2,"uma",-3.18584070796457
"4008","sem_pyme",3,"pyme",152.173913043478
"4008","moda",2,NA,NA
"4008","sem_total",2,"total",-1.45547945205479
"4008","sem_mujeres",1,"mujeres",-18.580375782881
"4008","sem_jovenes",1,"jovenes",-16.4251207729468
"4008","sem_mayores",3,"mayores",2.38095238095239
"4008","sem_uma",2,"uma",-3.18584070796457
"4008","sem_pyme",3,"pyme",152.173913043478
"4008","moda",3,NA,NA
"4009","sem_total",3,"total",2.59593679458237
"4009","sem_mujeres",2,"mujeres",-4.58265139116204
"4009","sem_jovenes",2,"jovenes",-3.30188679245284
"4009","sem_mayores",2,"mayores",-3.81355932203391
"4009","sem_uma",3,"uma",4.86696950032446
"4009","sem_pyme",2,"pyme",-2.4193548387097
"4009","moda",2,NA,NA
"4010","sem_total",2,"total",-2.05128205128207
